epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
59,0.929716,62.417,1.415270,50.250,0.00005258,23.313,77.011,17.391,27.174,47.059,10.000,0.727198,0.757182,0.825704,0.665500,0.677760,0.768604,0.698421
60,0.925595,62.083,1.426486,51.250,0.00004393,23.304,78.736,26.087,29.348,39.706,10.000,0.729444,0.763793,0.837402,0.661631,0.697487,0.753987,0.696711
61,0.908862,62.750,1.399743,51.750,0.00003594,23.273,79.885,26.087,27.174,42.647,10.000,0.729788,0.765484,0.837962,0.665868,0.684571,0.782645,0.677895
62,0.908103,62.417,1.426511,51.250,0.00002865,23.300,78.161,23.913,33.696,36.765,10.000,0.732523,0.764561,0.831579,0.661815,0.698087,0.771660,0.699474
63,0.914232,62.000,1.410428,51.500,0.00002210,23.296,80.460,23.913,28.261,39.706,10.000,0.731337,0.763978,0.833359,0.661815,0.689406,0.776577,0.695526
64,0.892617,62.417,1.437806,51.500,0.00001635,23.304,78.736,26.087,32.609,36.765,10.000,0.727719,0.760065,0.829315,0.660219,0.688947,0.766035,0.694079
65,0.904544,63.000,1.433866,51.250,0.00001142,23.260,79.310,26.087,30.435,36.765,10.000,0.729379,0.763105,0.834173,0.659543,0.690076,0.770996,0.692105
66,0.909284,61.917,1.426477,50.750,0.00000734,23.233,77.586,26.087,31.522,36.765,10.000,0.728813,0.763395,0.834808,0.660894,0.691100,0.770287,0.686974
67,0.899025,63.083,1.431046,50.750,0.00000414,23.230,78.161,26.087,30.435,36.765,10.000,0.729671,0.763530,0.834757,0.660280,0.692970,0.767319,0.693026
68,0.910309,63.917,1.437414,51.500,0.00000185,23.297,79.885,26.087,29.348,38.235,10.000,0.731871,0.764945,0.836665,0.659543,0.691805,0.770553,0.700789
69,0.900727,63.000,1.428909,51.750,0.00000046,23.281,79.885,26.087,29.348,39.706,10.000,0.732380,0.765089,0.836105,0.660771,0.694276,0.768117,0.702632
70,0.879720,63.750,1.429162,51.250,0.00030000,23.276,79.310,26.087,29.348,38.235,10.000,0.731276,0.764397,0.835113,0.661692,0.693605,0.768338,0.697632
71,0.943832,61.000,1.412595,52.000,0.00029988,23.231,82.184,10.870,36.957,33.824,15.000,0.724046,0.759701,0.836690,0.680852,0.676772,0.754075,0.671842
72,0.966657,60.250,1.493618,52.000,0.00029954,23.297,77.011,26.087,32.609,44.118,10.000,0.730608,0.760347,0.831070,0.678764,0.677230,0.764263,0.701711
73,0.984584,59.750,1.446272,48.500,0.00029896,23.304,85.632,10.870,21.739,26.471,10.000,0.720383,0.761982,0.841369,0.642471,0.681112,0.779988,0.656974
74,0.981509,59.000,1.420855,51.750,0.00029815,23.270,74.138,13.043,45.652,41.176,10.000,0.726593,0.754493,0.823975,0.650270,0.674125,0.766699,0.717895
75,0.976359,58.083,1.443023,49.500,0.00029712,23.291,73.563,17.391,33.696,41.176,15.000,0.720846,0.746394,0.811693,0.664763,0.679948,0.734010,0.713816
76,0.970452,59.250,1.412179,50.500,0.00029586,23.268,83.908,17.391,15.217,47.059,10.000,0.728410,0.763401,0.841623,0.686195,0.668690,0.769224,0.676316
