epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_acc_c5,test_acc_c6,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4,test_auc_c5,test_auc_c6
47,0.231440,91.211,0.624193,81.047,0.00018502,136.944,59.091,67.961,58.636,43.478,76.233,88.292,79.310,0.956865,0.945857,0.967478,0.966760,0.947976,0.967095,0.920219,0.945944,0.982584
48,0.222991,91.660,0.622671,81.895,0.00017347,136.856,69.697,76.699,58.182,21.739,56.502,92.095,79.310,0.955931,0.946103,0.960359,0.977163,0.948554,0.962159,0.910042,0.947478,0.985760
49,0.205291,92.260,0.642170,81.496,0.00016177,137.248,69.697,74.757,66.364,39.130,64.574,88.740,75.862,0.952312,0.946326,0.949591,0.975156,0.936970,0.946497,0.916940,0.949390,0.991641
50,0.200818,92.310,0.641223,80.848,0.00015000,136.801,65.152,70.874,54.091,39.130,72.197,89.038,75.862,0.957224,0.943231,0.961477,0.963865,0.942037,0.977625,0.916051,0.943737,0.995777
51,0.194093,92.772,0.598783,82.943,0.00013823,137.074,65.152,68.932,70.909,43.478,54.260,92.468,75.862,0.959698,0.951830,0.965126,0.972497,0.952837,0.950928,0.924861,0.952909,0.998726
52,0.175790,93.496,0.630377,82.444,0.00012653,136.953,60.606,73.786,67.727,26.087,62.332,91.051,75.862,0.952445,0.947012,0.955733,0.972426,0.953876,0.936669,0.920991,0.947294,0.980124
53,0.163466,94.120,0.620797,82.793,0.00011498,137.040,56.061,66.990,71.364,52.174,65.022,90.902,72.414,0.956905,0.950224,0.956718,0.972533,0.953206,0.946453,0.926082,0.950867,0.992479
54,0.150051,94.719,0.661050,82.643,0.00010365,137.003,57.576,75.728,56.818,47.826,73.543,90.753,82.759,0.955524,0.948712,0.960093,0.970251,0.944011,0.936976,0.930861,0.949393,0.997086
55,0.142296,94.969,0.631100,83.342,0.00009260,136.963,65.152,65.049,67.727,47.826,60.987,92.543,82.759,0.956771,0.949564,0.956499,0.970884,0.951021,0.945861,0.925410,0.950393,0.997330
56,0.132872,95.306,0.665897,82.344,0.00008190,137.106,74.242,68.932,64.545,52.174,62.332,90.604,79.310,0.956130,0.949394,0.958828,0.971282,0.948536,0.943842,0.924565,0.950622,0.995236
57,0.122904,95.830,0.659331,82.693,0.00007163,137.073,60.606,76.699,59.091,39.130,60.987,92.543,79.310,0.954865,0.948077,0.951779,0.969271,0.947051,0.955600,0.924907,0.949336,0.986109
58,0.108849,96.367,0.644709,82.843,0.00006183,137.018,63.636,71.845,67.273,52.174,68.161,90.306,75.862,0.959429,0.949527,0.955038,0.973349,0.951508,0.969618,0.925911,0.949791,0.990786
59,0.105056,96.242,0.666904,82.544,0.00005258,137.109,69.697,71.845,63.182,43.478,62.332,91.201,82.759,0.956977,0.949246,0.958210,0.975789,0.947846,0.943448,0.925229,0.950029,0.998290
60,0.103529,96.492,0.697528,83.142,0.00004393,136.995,54.545,72.816,61.818,47.826,67.265,92.245,75.862,0.953522,0.947739,0.953920,0.973760,0.943033,0.936428,0.923810,0.949374,0.994328
61,0.094926,96.904,0.684617,83.042,0.00003594,137.177,62.121,71.845,67.273,52.174,61.883,91.648,79.310,0.954514,0.948266,0.951576,0.972655,0.952007,0.942680,0.919028,0.949584,0.994067
62,0.089694,96.966,0.683462,83.691,0.00002865,136.952,65.152,71.845,69.091,43.478,62.780,92.095,82.759,0.953929,0.948043,0.950271,0.971346,0.948790,0.939740,0.922103,0.949443,0.995812
