epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
63,0.914998,61.917,1.406887,51.500,0.00002210,23.403,80.460,23.913,28.261,39.706,10.000,0.732158,0.764663,0.833740,0.662000,0.690570,0.777507,0.696974
64,0.893224,62.167,1.435450,51.500,0.00001635,23.303,79.310,26.087,30.435,38.235,10.000,0.728700,0.760511,0.829315,0.660403,0.689759,0.766389,0.697632
65,0.905174,63.083,1.430431,51.000,0.00001142,23.355,79.310,26.087,29.348,36.765,10.000,0.730402,0.763748,0.834147,0.659482,0.691629,0.772015,0.694737
66,0.909918,61.917,1.422906,50.500,0.00000734,23.376,77.586,26.087,30.435,36.765,10.000,0.730054,0.764058,0.834783,0.660833,0.691982,0.772015,0.690658
67,0.899876,63.333,1.427677,50.500,0.00000414,23.363,78.161,26.087,29.348,36.765,10.000,0.730960,0.764326,0.835088,0.660341,0.693923,0.768737,0.696711
68,0.911308,63.500,1.434230,51.500,0.00000185,23.303,79.885,26.087,29.348,38.235,10.000,0.732820,0.765445,0.836410,0.660157,0.693111,0.771262,0.703158
69,0.901564,62.750,1.426161,51.500,0.00000046,23.366,79.885,26.087,29.348,38.235,10.000,0.733128,0.765310,0.835698,0.661324,0.695193,0.768028,0.705395
70,0.880614,63.750,1.426020,51.250,0.00030000,23.354,79.310,26.087,29.348,38.235,10.000,0.731851,0.764657,0.834910,0.660771,0.694840,0.768604,0.700132
71,0.944703,61.083,1.410761,53.000,0.00029988,23.384,83.333,10.870,38.043,35.294,15.000,0.726276,0.760910,0.835775,0.681466,0.680477,0.756556,0.677105
72,0.966981,60.083,1.495272,52.750,0.00029954,23.400,75.862,26.087,39.130,42.647,10.000,0.731123,0.760655,0.830790,0.675325,0.678148,0.767142,0.704211
73,0.985107,59.500,1.453478,48.500,0.00029896,23.425,86.782,10.870,22.826,22.059,10.000,0.721484,0.762369,0.839945,0.641120,0.684112,0.781715,0.660526
74,0.982820,58.917,1.421612,53.750,0.00029815,23.372,75.862,23.913,46.739,39.706,10.000,0.729011,0.755299,0.823111,0.652113,0.674866,0.769047,0.725921
75,0.977263,58.000,1.443899,49.500,0.00029712,23.374,74.138,17.391,33.696,39.706,15.000,0.722106,0.746644,0.811667,0.664763,0.680054,0.733389,0.720658
76,0.972326,59.083,1.409450,50.500,0.00029586,23.396,83.333,17.391,14.130,50.000,10.000,0.729069,0.764344,0.843353,0.686441,0.668690,0.770021,0.676842
77,0.924565,61.333,1.424848,51.750,0.00029437,23.348,76.437,6.522,63.043,16.176,10.000,0.727243,0.745763,0.807141,0.641918,0.670066,0.757220,0.759868
78,0.934720,61.167,1.428333,49.000,0.00029266,23.339,85.632,17.391,16.304,32.353,10.000,0.722553,0.755360,0.832799,0.662614,0.661314,0.766566,0.689474
79,0.933838,61.667,1.503250,49.500,0.00029073,23.354,76.437,32.609,27.174,32.353,15.000,0.724589,0.754927,0.827205,0.685212,0.665937,0.757486,0.687105
80,0.939169,60.667,1.438439,50.500,0.00028858,23.302,78.736,19.565,40.217,22.059,20.000,0.724865,0.755783,0.835012,0.654078,0.671443,0.747608,0.716184
81,0.962986,59.750,1.532274,52.500,0.00028622,23.346,79.310,10.870,44.565,38.235,0.000,0.719177,0.751438,0.823314,0.648735,0.688735,0.737730,0.697368
82,0.923858,61.583,1.431923,49.750,0.00028365,23.365,81.034,17.391,19.565,42.647,15.000,0.716637,0.751300,0.833537,0.681344,0.654785,0.742337,0.671184
83,0.911487,63.417,1.544210,48.250,0.00028087,23.414,83.908,10.870,39.130,5.882,10.000,0.714152,0.750221,0.821051,0.644375,0.692476,0.742071,0.670789
84,0.926496,62.583,1.467221,48.750,0.00027790,23.376,78.161,30.435,21.739,35.294,5.000,0.710091,0.743491,0.816677,0.654507,0.648292,0.769268,0.661711
85,0.892234,62.250,1.633831,49.250,0.00027472,23.341,79.310,19.565,22.826,38.235,15.000,0.720153,0.756066,0.837453,0.664517,0.663538,0.758150,0.677105
86,0.892598,64.417,1.466393,47.250,0.00027135,23.334,81.034,6.522,27.174,26.471,10.000,0.714248,0.747265,0.830155,0.638295,0.652915,0.750664,0.699211
87,0.888984,63.833,1.519104,49.250,0.00026780,23.354,73.563,21.739,47.826,16.176,20.000,0.711203,0.739964,0.802792,0.600467,0.678430,0.766168,0.708158
88,0.876661,64.250,1.482605,45.750,0.00026406,23.460,79.885,23.913,13.043,27.941,10.000,0.694085,0.740771,0.851236,0.648858,0.604531,0.737775,0.628026
89,0.889639,64.000,1.464994,51.250,0.00026015,23.307,76.437,4.348,42.391,41.176,15.000,0.733108,0.761526,0.843785,0.630926,0.672784,0.760675,0.757368
90,0.875574,63.917,1.591962,50.500,0.00025607,23.369,81.034,26.087,23.913,36.765,10.000,0.711106,0.750132,0.832698,0.647323,0.659867,0.757619,0.658026
91,0.844297,65.417,1.506553,50.250,0.00025182,23.313,73.563,15.217,46.739,30.882,10.000,0.706425,0.741866,0.825374,0.670290,0.633399,0.749247,0.653816
92,0.832060,66.333,1.598094,46.500,0.00024742,23.363,82.759,2.174,33.696,10.294,15.000,0.712302,0.744739,0.818482,0.626443,0.672748,0.747785,0.696053
93,0.851247,66.250,1.589089,46.250,0.00024286,23.394,79.310,17.391,20.652,26.471,10.000,0.710142,0.745798,0.832214,0.635839,0.644233,0.754740,0.683684
94,0.833655,66.833,1.542485,48.750,0.00023817,23.372,74.713,17.391,44.565,19.118,15.000,0.706278,0.736833,0.822831,0.648059,0.650621,0.701984,0.707895
95,0.816077,66.500,1.625806,49.000,0.00023334,23.336,83.908,13.043,14.130,45.588,0.000,0.698003,0.731897,0.813498,0.656902,0.621753,0.746545,0.651316
96,0.828272,66.333,1.588020,48.750,0.00022837,23.324,78.161,2.174,42.391,22.059,20.000,0.712697,0.747137,0.827179,0.634242,0.649280,0.770021,0.682763
97,0.821079,67.917,1.566577,50.250,0.00022329,23.306,77.586,28.261,29.348,36.765,5.000,0.706754,0.737361,0.821025,0.647630,0.653162,0.707610,0.704342
98,0.811698,66.583,1.666323,48.500,0.00021810,23.329,77.011,6.522,47.826,14.706,15.000,0.711686,0.742596,0.813269,0.630005,0.664949,0.757707,0.692500
99,0.809288,66.500,1.666897,46.750,0.00021280,23.348,81.609,10.870,15.217,33.824,15.000,0.711737,0.746632,0.829366,0.660833,0.639963,0.760365,0.668158
100,0.790403,67.833,1.597718,46.750,0.00020740,23.374,78.161,19.565,18.478,33.824,10.000,0.706606,0.734665,0.820746,0.651928,0.623906,0.727897,0.708553
101,0.763831,69.417,1.578408,48.250,0.00020192,23.327,83.333,4.348,32.609,19.118,15.000,0.700750,0.734402,0.810319,0.637620,0.649633,0.740521,0.665658
102,0.793122,69.000,1.660622,49.000,0.00019635,23.390,77.011,26.087,29.348,30.882,10.000,0.695279,0.729441,0.814820,0.623741,0.617907,0.751240,0.668684
103,0.768104,70.000,1.691200,45.750,0.00019072,23.357,86.782,6.522,18.478,11.765,20.000,0.699421,0.732021,0.819118,0.627610,0.638905,0.716735,0.694737
104,0.767538,69.167,1.719625,49.750,0.00018502,23.347,79.310,26.087,27.174,27.941,25.000,0.703537,0.740403,0.836359,0.611828,0.640987,0.728118,0.700395
105,0.754157,69.417,1.695857,46.000,0.00017926,23.398,81.034,2.174,29.348,17.647,15.000,0.689720,0.724777,0.809658,0.631479,0.628811,0.719968,0.658684
106,0.757858,71.000,1.751821,48.000,0.00017347,23.353,81.034,13.043,26.087,26.471,15.000,0.698201,0.737039,0.824128,0.643577,0.637316,0.738749,0.647237
107,0.766793,69.417,1.705103,50.000,0.00016763,23.373,71.839,17.391,44.565,36.765,5.000,0.690384,0.722650,0.800020,0.613977,0.630223,0.739148,0.668553
108,0.738437,69.250,1.844627,47.500,0.00016177,23.372,81.609,19.565,15.217,32.353,15.000,0.699689,0.738454,0.828324,0.635532,0.651539,0.717000,0.666053
109,0.761925,69.500,1.718495,46.750,0.00015589,23.306,83.333,8.696,29.348,10.294,20.000,0.699943,0.734134,0.823645,0.594019,0.649351,0.721253,0.711447
110,0.698237,72.500,1.727693,47.250,0.00015000,23.388,78.736,21.739,15.217,38.235,10.000,0.701315,0.733945,0.819652,0.642348,0.630011,0.732459,0.682105
111,0.686445,73.417,1.791008,45.500,0.00014411,23.373,84.483,8.696,14.130,19.118,25.000,0.697368,0.735835,0.831197,0.645050,0.628917,0.719569,0.662105
112,0.714930,73.083,1.752303,46.500,0.00013823,23.384,78.161,10.870,25.000,29.412,10.000,0.685460,0.721901,0.806708,0.616126,0.632552,0.717045,0.654868
113,0.715041,72.500,1.751930,48.750,0.00013237,23.408,85.057,6.522,35.870,11.765,15.000,0.691955,0.731674,0.822195,0.604028,0.649986,0.715672,0.667895
114,0.698652,71.667,1.783247,48.750,0.00012653,23.338,79.885,8.696,38.043,19.118,20.000,0.698514,0.732447,0.813218,0.609064,0.653162,0.729757,0.687368
115,0.686448,73.583,1.778356,47.500,0.00012074,23.355,82.184,23.913,13.043,30.882,15.000,0.705097,0.739402,0.822170,0.633628,0.644339,0.745216,0.680132
116,0.674698,73.750,1.808212,44.750,0.00011498,23.355,85.057,13.043,15.217,11.765,15.000,0.696384,0.723038,0.808183,0.646524,0.621259,0.699504,0.706447
