epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
116,0.981041,57.250,1.281697,54.250,0.00011498,25.579,78.161,26.087,39.130,45.588,10.000,0.746104,0.779816,0.847498,0.687546,0.705569,0.794251,0.695658
117,1.003716,58.333,1.282566,55.750,0.00010928,25.723,77.586,32.609,43.478,45.588,10.000,0.751094,0.779567,0.842157,0.685397,0.711815,0.790707,0.725395
118,0.977027,58.417,1.270475,56.250,0.00010365,25.602,78.736,32.609,42.391,47.059,10.000,0.749304,0.780261,0.845489,0.683739,0.712521,0.789378,0.715395
119,0.975887,58.167,1.262901,56.000,0.00009808,25.579,78.736,28.261,40.217,51.471,10.000,0.749439,0.779513,0.843454,0.688344,0.709239,0.791814,0.714342
120,0.970566,58.417,1.262768,55.250,0.00009260,25.547,76.437,26.087,43.478,50.000,10.000,0.751843,0.782698,0.847040,0.691906,0.717532,0.787473,0.715263
121,0.988094,59.000,1.287693,54.750,0.00008720,25.650,77.011,34.783,38.043,45.588,15.000,0.741370,0.773163,0.842081,0.672685,0.704687,0.775425,0.711974
122,0.970220,58.083,1.296152,54.500,0.00008190,25.302,77.011,28.261,43.478,42.647,10.000,0.741949,0.773220,0.837428,0.675387,0.707298,0.784240,0.705395
123,0.983991,57.750,1.285452,54.500,0.00007671,25.054,75.287,28.261,41.304,50.000,10.000,0.746626,0.777782,0.841013,0.686932,0.712098,0.787562,0.705526
124,0.972169,58.750,1.286428,54.750,0.00007163,25.012,77.586,28.261,41.304,45.588,10.000,0.749484,0.778065,0.838419,0.683063,0.716086,0.788404,0.721447
125,0.960157,58.583,1.294774,55.000,0.00006666,25.033,76.437,34.783,40.217,47.059,10.000,0.747148,0.777570,0.841522,0.690125,0.708957,0.786056,0.709079
126,0.968865,58.417,1.282730,55.250,0.00006183,25.078,74.713,34.783,41.304,51.471,10.000,0.745246,0.776566,0.843251,0.683554,0.707086,0.782468,0.709868
127,0.958750,58.417,1.288622,55.000,0.00005714,25.382,76.437,30.435,42.391,47.059,10.000,0.747508,0.778236,0.842310,0.684967,0.715168,0.781804,0.713289
128,0.973878,58.667,1.286657,55.500,0.00005258,25.641,77.011,30.435,42.391,48.529,10.000,0.749795,0.781040,0.845845,0.689143,0.715874,0.785746,0.712368
