coverage,risk_mean,ci_low,ci_high
0.4725000000,0.2550264550,0.2442314172,0.2658214928
0.4750000000,0.2589473684,0.2482091466,0.2696855902
0.4775000000,0.2607329843,0.2491038948,0.2723620737
0.4800000000,0.2645833333,0.2530148121,0.2761518546
0.4825000000,0.2673575130,0.2548163278,0.2798986981
0.4850000000,0.2690721649,0.2551965804,0.2829477495
0.4875000000,0.2717948718,0.2568617426,0.2867280010
0.4900000000,0.2724489796,0.2553326970,0.2895652622
0.4925000000,0.2751269036,0.2607541647,0.2894996424
0.4950000000,0.2767676768,0.2599407367,0.2935946168
0.4975000000,0.2783919598,0.2598825595,0.2969013601
0.5000000000,0.2770000000,0.2585831467,0.2954168533
0.5025000000,0.2776119403,0.2616220519,0.2936018287
0.5050000000,0.2792079208,0.2650568060,0.2933590356
0.5075000000,0.2798029557,0.2672677144,0.2923381969
0.5100000000,0.2813725490,0.2711877389,0.2915573592
0.5125000000,0.2839024390,0.2760052108,0.2917996672
0.5150000000,0.2864077670,0.2790256232,0.2937899107
0.5175000000,0.2888888889,0.2810679624,0.2967098154
0.5200000000,0.2923076923,0.2845243664,0.3000910182
0.5225000000,0.2947368421,0.2867661863,0.3027074979
0.5250000000,0.2961904762,0.2897134535,0.3026674989
0.5275000000,0.2966824645,0.2899729157,0.3033920132
0.5300000000,0.2971698113,0.2888868959,0.3054527267
0.5325000000,0.2995305164,0.2899518209,0.3091092119
0.5350000000,0.3009345794,0.2903944174,0.3114747414
0.5375000000,0.3004651163,0.2908013895,0.3101288431
0.5400000000,0.3018518519,0.2900710464,0.3136326573
0.5425000000,0.3023041475,0.2927294872,0.3118788077
0.5450000000,0.3036697248,0.2962434322,0.3110960174
0.5475000000,0.3050228311,0.2988119874,0.3112336747
0.5500000000,0.3063636364,0.2978041969,0.3149230759
0.5525000000,0.3085972851,0.3002638673,0.3169307029
0.5550000000,0.3099099099,0.3026174244,0.3172023954
0.5575000000,0.3112107623,0.3027664722,0.3196550524
0.5600000000,0.3116071429,0.3009446947,0.3222695910
0.5625000000,0.3137777778,0.3045435499,0.3230120056
0.5650000000,0.3159292035,0.3075970058,0.3242614013
0.5675000000,0.3171806167,0.3069473981,0.3274138354
0.5700000000,0.3175438596,0.3056125021,0.3294752172
0.5725000000,0.3187772926,0.3072752528,0.3302793323
0.5750000000,0.3208695652,0.3091658113,0.3325733191
0.5775000000,0.3220779221,0.3085863554,0.3355694887
0.5800000000,0.3206896552,0.3072562418,0.3341230685
0.5825000000,0.3236051502,0.3102293910,0.3369809094
0.5850000000,0.3239316239,0.3101967198,0.3376665281
0.5875000000,0.3259574468,0.3116817388,0.3402331548
0.5900000000,0.3254237288,0.3108242468,0.3400232109
0.5925000000,0.3265822785,0.3139648823,0.3391996747
0.5950000000,0.3285714286,0.3150673631,0.3420754940
0.5975000000,0.3305439331,0.3153973158,0.3456905503
0.6000000000,0.3325000000,0.3163869144,0.3486130856
0.6025000000,0.3336099585,0.3187668079,0.3484531091
0.6050000000,0.3347107438,0.3173112088,0.3521102789
0.6075000000,0.3358024691,0.3158156570,0.3557892813
0.6100000000,0.3377049180,0.3181279640,0.3572818720
0.6125000000,0.3387755102,0.3194770790,0.3580739414
0.6150000000,0.3390243902,0.3206168905,0.3574318900
0.6175000000,0.3400809717,0.3212717357,0.3588902076
0.6200000000,0.3427419355,0.3240085433,0.3614753277
0.6225000000,0.3437751004,0.3249180935,0.3626321073
0.6250000000,0.3432000000,0.3232095952,0.3631904048
0.6275000000,0.3434262948,0.3235155331,0.3633370565
0.6300000000,0.3428571429,0.3223631491,0.3633511366
0.6325000000,0.3446640316,0.3228810823,0.3664469809
0.6350000000,0.3456692913,0.3251029516,0.3662356311
0.6375000000,0.3466666667,0.3279342087,0.3653991246
0.6400000000,0.3484375000,0.3283221151,0.3685528849
