epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
52,0.992734,59.583,1.299158,52.750,0.00012653,23.351,76.437,21.739,38.043,45.588,10.000,0.736363,0.773142,0.857161,0.684721,0.675748,0.774185,0.690000
53,0.962802,60.333,1.402651,52.250,0.00011498,23.366,78.736,23.913,31.522,44.118,10.000,0.734419,0.764352,0.832952,0.657271,0.699075,0.762535,0.720263
54,0.956354,60.583,1.318793,52.000,0.00010365,23.361,79.885,21.739,35.870,35.294,10.000,0.737928,0.772282,0.844980,0.670720,0.700734,0.772945,0.700263
55,0.947869,61.167,1.398409,51.250,0.00009260,23.312,80.460,19.565,27.174,42.647,10.000,0.729103,0.760852,0.833816,0.655183,0.690853,0.755138,0.710526
56,0.936036,61.583,1.393941,53.250,0.00008190,23.339,77.011,34.783,41.304,33.824,10.000,0.736665,0.767848,0.838063,0.664640,0.692335,0.776710,0.711579
57,0.927793,62.500,1.411647,51.250,0.00007163,23.250,78.736,23.913,35.870,32.353,10.000,0.742085,0.772927,0.836232,0.665254,0.709133,0.788094,0.711711
58,0.963324,61.000,1.402176,51.750,0.00006183,23.308,81.034,23.913,33.696,32.353,10.000,0.730568,0.766446,0.836537,0.665438,0.698087,0.773565,0.679211
59,0.930981,62.083,1.412572,50.000,0.00005258,23.360,76.437,17.391,26.087,48.529,10.000,0.727339,0.757422,0.825857,0.665930,0.678677,0.768205,0.698026
60,0.926549,62.083,1.423991,51.750,0.00004393,23.326,78.736,26.087,31.522,39.706,10.000,0.730076,0.763812,0.836868,0.661201,0.698193,0.753721,0.700395
61,0.910436,62.500,1.397084,51.750,0.00003594,23.351,79.310,26.087,27.174,44.118,10.000,0.730355,0.765663,0.837962,0.665316,0.685065,0.782512,0.680921
62,0.909466,62.333,1.424177,51.000,0.00002865,23.341,78.161,23.913,32.609,36.765,10.000,0.733042,0.764495,0.830714,0.661692,0.698864,0.771704,0.702237
63,0.915527,61.750,1.407655,51.250,0.00002210,23.289,80.460,23.913,27.174,39.706,10.000,0.732607,0.764941,0.833689,0.662491,0.691629,0.777197,0.698026
64,0.893670,62.083,1.434588,51.750,0.00001635,23.366,79.310,26.087,32.609,36.765,10.000,0.728453,0.760500,0.829239,0.660280,0.690394,0.766168,0.696184
65,0.905686,62.917,1.430293,50.750,0.00001142,23.398,79.310,26.087,28.261,36.765,10.000,0.730622,0.763776,0.834300,0.659727,0.691417,0.771483,0.696184
66,0.910478,61.917,1.421956,50.500,0.00000734,23.323,77.586,26.087,30.435,36.765,10.000,0.730088,0.763875,0.834859,0.661140,0.691029,0.771439,0.691974
67,0.900367,63.250,1.427070,50.250,0.00000414,23.302,78.161,26.087,28.261,36.765,10.000,0.731341,0.764690,0.835647,0.660648,0.693994,0.768914,0.697500
68,0.912181,63.500,1.433778,51.500,0.00000185,23.328,79.885,26.087,28.261,39.706,10.000,0.732966,0.765514,0.836334,0.659850,0.693570,0.771262,0.703816
69,0.902016,62.833,1.426159,51.500,0.00000046,23.319,79.885,26.087,29.348,38.235,10.000,0.733280,0.765418,0.835775,0.660648,0.695723,0.767939,0.706316
70,0.881172,63.500,1.425867,50.750,0.00030000,23.349,78.736,26.087,28.261,38.235,10.000,0.732261,0.764840,0.835037,0.661508,0.694840,0.768471,0.701447
71,0.945236,61.083,1.415322,52.500,0.00029988,23.382,82.759,13.043,34.783,36.765,15.000,0.727509,0.761020,0.835546,0.681958,0.679983,0.756113,0.683947
72,0.968639,60.083,1.500315,52.750,0.00029954,23.353,76.437,23.913,36.957,45.588,10.000,0.732882,0.761341,0.830485,0.674159,0.678113,0.770863,0.710789
73,0.985700,59.833,1.448798,48.750,0.00029896,23.329,86.207,10.870,23.913,23.529,10.000,0.722515,0.762425,0.839055,0.641857,0.682947,0.784240,0.664474
74,0.984083,59.250,1.418960,53.000,0.00029815,23.362,74.713,13.043,50.000,41.176,10.000,0.727738,0.754142,0.820822,0.650270,0.677301,0.766743,0.723553
75,0.977586,58.083,1.442820,49.250,0.00029712,23.338,75.862,13.043,31.522,39.706,15.000,0.722568,0.746693,0.812023,0.663965,0.678854,0.733921,0.724079
76,0.971831,59.167,1.410808,49.250,0.00029586,23.324,82.184,17.391,10.870,50.000,10.000,0.729109,0.764071,0.842717,0.686502,0.669078,0.769091,0.678158
77,0.925700,61.167,1.416869,50.500,0.00029437,23.253,75.287,6.522,57.609,19.118,10.000,0.727458,0.745632,0.807319,0.641427,0.668866,0.757176,0.762500
78,0.935989,61.083,1.431937,49.000,0.00029266,23.302,85.057,17.391,15.217,35.294,10.000,0.722002,0.755653,0.834961,0.660771,0.660397,0.765592,0.688289
79,0.933663,61.750,1.510480,48.000,0.00029073,23.311,75.287,32.609,26.087,27.941,15.000,0.724386,0.755873,0.829290,0.684414,0.667808,0.756733,0.683684
80,0.940341,60.667,1.441587,51.500,0.00028858,23.317,79.885,19.565,43.478,22.059,15.000,0.725625,0.756226,0.833766,0.654078,0.673031,0.751329,0.715921
81,0.962991,60.000,1.530791,52.250,0.00028622,23.271,79.310,10.870,44.565,36.765,0.000,0.719476,0.752145,0.824560,0.647200,0.689370,0.738882,0.697368
82,0.925348,61.750,1.429086,48.750,0.00028365,23.340,79.885,13.043,19.565,42.647,15.000,0.715810,0.750538,0.832977,0.679133,0.653727,0.742293,0.670921
83,0.911956,63.167,1.534138,48.250,0.00028087,23.338,82.759,10.870,41.304,5.882,10.000,0.714705,0.750197,0.819805,0.644928,0.692088,0.744995,0.671711
84,0.927202,62.083,1.475881,49.500,0.00027790,23.256,77.011,30.435,26.087,36.765,5.000,0.709390,0.740995,0.811871,0.653648,0.645222,0.770420,0.665789
85,0.893737,62.083,1.631540,49.250,0.00027472,23.337,78.736,17.391,22.826,42.647,10.000,0.722850,0.756846,0.835597,0.667219,0.665584,0.760454,0.685395
86,0.893793,64.250,1.456536,47.750,0.00027135,23.330,81.609,6.522,28.261,26.471,10.000,0.716695,0.748493,0.829621,0.641734,0.655527,0.751727,0.704868
87,0.890449,63.917,1.526274,49.750,0.00026780,23.298,73.563,21.739,48.913,17.647,20.000,0.712736,0.739489,0.799410,0.602800,0.680618,0.765326,0.715526
88,0.878040,63.917,1.479204,46.000,0.00026406,23.384,80.460,21.739,13.043,29.412,10.000,0.695125,0.740577,0.849914,0.649472,0.606119,0.735516,0.634605
89,0.891831,63.833,1.467010,52.500,0.00026015,23.367,76.437,13.043,41.304,42.647,20.000,0.732962,0.761935,0.844853,0.636207,0.675466,0.754075,0.754211
90,0.876537,63.750,1.595074,51.000,0.00025607,23.279,82.184,28.261,23.913,35.294,10.000,0.711332,0.750227,0.832164,0.651007,0.660573,0.756600,0.656316
91,0.845473,65.167,1.507766,50.000,0.00025182,23.367,72.989,15.217,45.652,32.353,10.000,0.708495,0.743333,0.825450,0.671334,0.638375,0.748893,0.658421
92,0.833521,66.167,1.607913,46.000,0.00024742,23.367,82.759,2.174,31.522,10.294,15.000,0.713581,0.745405,0.817185,0.630373,0.676383,0.747254,0.696711
93,0.853149,66.083,1.596276,46.500,0.00024286,23.353,78.736,19.565,19.565,29.412,10.000,0.710761,0.746122,0.832342,0.636883,0.645469,0.753322,0.685789
94,0.837776,66.500,1.548825,49.500,0.00023817,23.344,74.713,19.565,46.739,19.118,15.000,0.706148,0.736611,0.823034,0.649226,0.651045,0.698485,0.708947
95,0.818061,66.250,1.625089,48.750,0.00023334,23.294,83.908,13.043,13.043,45.588,0.000,0.696494,0.731119,0.814642,0.656534,0.618718,0.744286,0.648289
96,0.829858,66.000,1.596190,49.000,0.00022837,23.345,79.885,2.174,41.304,20.588,20.000,0.711846,0.746973,0.827662,0.631356,0.651715,0.766788,0.681711
97,0.823102,67.750,1.559291,50.250,0.00022329,23.389,77.011,26.087,30.435,36.765,10.000,0.705941,0.736948,0.820212,0.646770,0.655844,0.704908,0.701974
98,0.812670,66.583,1.659669,49.000,0.00021810,23.310,78.161,6.522,47.826,14.706,15.000,0.710646,0.742394,0.814515,0.630987,0.664349,0.754562,0.688816
99,0.810058,66.417,1.673735,47.000,0.00021280,23.310,82.184,10.870,16.304,32.353,15.000,0.710188,0.745460,0.828171,0.660403,0.639116,0.759169,0.664079
100,0.791642,67.917,1.610050,46.500,0.00020740,23.359,75.862,19.565,17.391,39.706,10.000,0.704106,0.732348,0.819322,0.654078,0.619495,0.723822,0.703816
101,0.766545,69.083,1.575036,48.500,0.00020192,23.299,83.908,4.348,32.609,19.118,15.000,0.702353,0.735495,0.812303,0.637804,0.650233,0.738926,0.672500
102,0.796019,69.000,1.663295,49.500,0.00019635,23.273,77.011,26.087,30.435,32.353,10.000,0.695095,0.729584,0.814922,0.622881,0.618754,0.751683,0.667237
103,0.770561,70.083,1.698803,46.250,0.00019072,23.313,87.356,8.696,17.391,13.235,20.000,0.700432,0.732935,0.819576,0.626505,0.639928,0.719835,0.696316
104,0.768772,68.917,1.730984,49.750,0.00018502,23.323,79.310,26.087,27.174,29.412,20.000,0.703409,0.740898,0.836639,0.613117,0.640987,0.730909,0.695395
105,0.755361,69.583,1.692097,45.750,0.00017926,23.334,81.034,4.348,27.174,19.118,10.000,0.690433,0.726158,0.811337,0.636146,0.629129,0.721607,0.653947
106,0.758495,70.833,1.752264,47.250,0.00017347,23.278,81.034,13.043,21.739,27.941,15.000,0.698245,0.737130,0.823517,0.645972,0.637316,0.740078,0.644342
107,0.769624,69.583,1.694399,50.500,0.00016763,23.270,73.563,17.391,42.391,38.235,5.000,0.692927,0.725113,0.802156,0.617416,0.632376,0.742426,0.670263
108,0.740869,69.083,1.844225,46.750,0.00016177,23.390,81.609,19.565,13.043,32.353,10.000,0.699160,0.738492,0.829087,0.634979,0.652386,0.715007,0.664342
109,0.764219,69.667,1.711740,46.250,0.00015589,23.328,83.908,6.522,27.174,10.294,20.000,0.699560,0.734740,0.825603,0.593220,0.649704,0.720721,0.708553
110,0.701600,72.083,1.722983,47.250,0.00015000,23.330,78.161,23.913,15.217,38.235,10.000,0.700120,0.733662,0.821305,0.641120,0.628811,0.729757,0.679605
111,0.689775,73.083,1.793671,45.000,0.00014411,23.240,84.483,8.696,13.043,17.647,25.000,0.697838,0.736334,0.831528,0.643392,0.630752,0.719835,0.663684
112,0.720431,72.750,1.747556,47.250,0.00013823,23.301,78.161,10.870,27.174,30.882,10.000,0.686437,0.722701,0.807014,0.617232,0.633823,0.718196,0.655921
113,0.718451,72.500,1.756784,48.250,0.00013237,23.298,85.057,6.522,33.696,11.765,15.000,0.691892,0.731660,0.821381,0.604458,0.649633,0.718595,0.665395
114,0.702490,71.333,1.788057,48.750,0.00012653,23.283,79.310,8.696,38.043,20.588,20.000,0.698424,0.732142,0.812634,0.609126,0.652527,0.730200,0.687632
115,0.689040,73.417,1.782291,46.750,0.00012074,23.321,81.034,21.739,13.043,30.882,15.000,0.705451,0.739820,0.821763,0.632523,0.645222,0.748538,0.679211
116,0.679614,73.917,1.808024,44.500,0.00011498,23.337,85.057,13.043,14.130,11.765,15.000,0.696436,0.723651,0.809048,0.643699,0.621965,0.702206,0.705263
117,0.675773,73.750,1.747402,47.500,0.00010928,23.331,79.310,4.348,29.348,29.412,15.000,0.700525,0.735213,0.822017,0.608020,0.642540,0.736889,0.693158
118,0.649683,74.917,1.840642,44.500,0.00010365,23.334,75.287,8.696,26.087,22.059,20.000,0.692795,0.721305,0.803504,0.632031,0.622706,0.713235,0.692500
119,0.648739,74.000,1.785511,49.000,0.00009808,23.339,79.885,17.391,29.348,29.412,10.000,0.695957,0.725837,0.805920,0.626812,0.642716,0.709470,0.694868
120,0.632573,75.333,1.793349,42.750,0.00009260,23.330,76.437,6.522,21.739,16.176,20.000,0.671996,0.704232,0.794299,0.613424,0.602732,0.683868,0.665658
121,0.643862,76.083,1.855339,44.750,0.00008720,23.286,78.161,10.870,19.565,26.471,10.000,0.692186,0.725344,0.810930,0.617477,0.627506,0.725018,0.680000
122,0.609113,77.750,1.879864,45.000,0.00008190,23.322,80.460,6.522,19.565,22.059,20.000,0.683193,0.717115,0.808768,0.595001,0.613813,0.714830,0.683553
123,0.636966,75.417,1.827423,44.750,0.00007671,23.327,77.586,21.739,18.478,19.118,20.000,0.690746,0.722030,0.807573,0.632400,0.627506,0.703092,0.683158
124,0.612491,76.750,1.857632,45.250,0.00007163,23.327,81.609,8.696,20.652,17.647,20.000,0.693706,0.726020,0.813295,0.629759,0.629905,0.709647,0.685921
125,0.619160,76.917,1.856950,43.750,0.00006666,23.317,79.310,4.348,21.739,17.647,15.000,0.689634,0.720787,0.804318,0.627364,0.624929,0.712084,0.679474
126,0.593810,78.333,1.908163,44.750,0.00006183,23.275,77.586,8.696,20.652,27.941,10.000,0.685819,0.719220,0.801597,0.606239,0.632340,0.716026,0.672895
127,0.607972,76.917,1.849119,44.250,0.00005714,23.329,77.011,19.565,19.565,20.588,10.000,0.686494,0.716831,0.800834,0.631479,0.622106,0.698839,0.679211
128,0.594445,77.083,1.900210,45.750,0.00005258,23.305,79.310,8.696,25.000,19.118,25.000,0.694668,0.725406,0.807802,0.628040,0.636611,0.711021,0.689868
