coverage,risk
0.9350000000,0.4438502674
0.9375000000,0.4426666667
0.9400000000,0.4414893617
0.9425000000,0.4429708223
0.9450000000,0.4417989418
0.9475000000,0.4432717678
0.9500000000,0.4421052632
0.9525000000,0.4435695538
0.9550000000,0.4450261780
0.9575000000,0.4438642298
0.9600000000,0.4427083333
0.9625000000,0.4441558442
0.9650000000,0.4430051813
0.9675000000,0.4444444444
0.9700000000,0.4458762887
0.9725000000,0.4447300771
0.9750000000,0.4461538462
0.9775000000,0.4475703325
0.9800000000,0.4489795918
0.9825000000,0.4478371501
0.9850000000,0.4467005076
0.9875000000,0.4455696203
0.9900000000,0.4444444444
0.9925000000,0.4433249370
0.9950000000,0.4447236181
0.9975000000,0.4436090226
1.0000000000,0.4450000000
