coverage,risk_mean,ci_low,ci_high
0.5300000000,0.3028301887,0.2855547989,0.3201055784
0.5325000000,0.3023474178,0.2860667661,0.3186280696
0.5350000000,0.3037383178,0.2853902508,0.3220863847
0.5375000000,0.3041860465,0.2861068691,0.3222652239
0.5400000000,0.3055555556,0.2873773781,0.3237337330
0.5425000000,0.3078341014,0.2900131772,0.3256550256
0.5450000000,0.3100917431,0.2909453568,0.3292381294
0.5475000000,0.3123287671,0.2955097230,0.3291478113
0.5500000000,0.3154545455,0.2987119515,0.3321971394
0.5525000000,0.3167420814,0.3003618031,0.3331223598
0.5550000000,0.3189189189,0.3006234728,0.3372143650
0.5575000000,0.3219730942,0.3037596904,0.3401864979
0.5600000000,0.3232142857,0.3049976594,0.3414309120
0.5625000000,0.3244444444,0.3074352646,0.3414536243
0.5650000000,0.3238938053,0.3063470938,0.3414405168
0.5675000000,0.3251101322,0.3064002452,0.3438200191
0.5700000000,0.3245614035,0.3041847313,0.3449380757
0.5725000000,0.3257641921,0.3063654490,0.3451629352
0.5750000000,0.3252173913,0.3041700111,0.3462647715
0.5775000000,0.3264069264,0.3027928609,0.3500209919
0.5800000000,0.3293103448,0.3057980641,0.3528226256
0.5825000000,0.3296137339,0.3039457262,0.3552817416
0.5850000000,0.3299145299,0.3051962584,0.3546328014
0.5875000000,0.3302127660,0.3061154932,0.3543100388
0.5900000000,0.3322033898,0.3068071133,0.3575996663
0.5925000000,0.3324894515,0.3067165433,0.3582623596
0.5950000000,0.3336134454,0.3084305830,0.3587963078
0.5975000000,0.3347280335,0.3082373684,0.3612186986
0.6000000000,0.3366666667,0.3091929509,0.3641403825
0.6025000000,0.3377593361,0.3098711122,0.3656475600
0.6050000000,0.3388429752,0.3114517693,0.3662341811
0.6075000000,0.3407407407,0.3148368871,0.3666445944
0.6100000000,0.3418032787,0.3172396670,0.3663668904
0.6125000000,0.3428571429,0.3180290349,0.3676852508
0.6150000000,0.3422764228,0.3159523287,0.3686005168
0.6175000000,0.3441295547,0.3184968868,0.3697622225
0.6200000000,0.3467741935,0.3212448832,0.3723035039
0.6225000000,0.3477911647,0.3198929179,0.3756894114
0.6250000000,0.3496000000,0.3234129560,0.3757870440
0.6275000000,0.3498007968,0.3232992443,0.3763023493
0.6300000000,0.3500000000,0.3243026701,0.3756973299
0.6325000000,0.3517786561,0.3246746500,0.3788826623
0.6350000000,0.3527559055,0.3262950316,0.3792167794
0.6375000000,0.3513725490,0.3250154433,0.3777296548
0.6400000000,0.3507812500,0.3259547916,0.3756077084
0.6425000000,0.3517509728,0.3279346832,0.3755672624
0.6450000000,0.3534883721,0.3300591129,0.3769176312
0.6475000000,0.3544401544,0.3313488580,0.3775314509
0.6500000000,0.3561538462,0.3316627279,0.3806449644
0.6525000000,0.3578544061,0.3348907232,0.3808180891
0.6550000000,0.3587786260,0.3378509933,0.3797062586
0.6575000000,0.3596958175,0.3364228653,0.3829687697
0.6600000000,0.3590909091,0.3352475893,0.3829342289
0.6625000000,0.3600000000,0.3352952415,0.3847047585
0.6650000000,0.3609022556,0.3359824367,0.3858220746
0.6675000000,0.3617977528,0.3366252361,0.3869702695
0.6700000000,0.3641791045,0.3391005151,0.3892576939
0.6725000000,0.3643122677,0.3373974608,0.3912270745
0.6750000000,0.3644444444,0.3381067808,0.3907821081
0.6775000000,0.3630996310,0.3368591543,0.3893401077
0.6800000000,0.3647058824,0.3370512291,0.3923605356
0.6825000000,0.3655677656,0.3383923903,0.3927431408
0.6850000000,0.3656934307,0.3393866032,0.3920002581
0.6875000000,0.3680000000,0.3417888337,0.3942111663
0.6900000000,0.3681159420,0.3423508363,0.3938810477
0.6925000000,0.3696750903,0.3445968829,0.3947532976
0.6950000000,0.3705035971,0.3466594538,0.3943477404
0.6975000000,0.3713261649,0.3470316619,0.3956206678
0.7000000000,0.3721428571,0.3498817721,0.3944039422
0.7025000000,0.3722419929,0.3495811717,0.3949028140
0.7050000000,0.3723404255,0.3480237108,0.3966571403
0.7075000000,0.3724381625,0.3490976241,0.3957787010
0.7100000000,0.3739436620,0.3511418058,0.3967455181
0.7125000000,0.3747368421,0.3513968783,0.3980768059
0.7150000000,0.3748251748,0.3509667632,0.3986835865
0.7175000000,0.3756097561,0.3524324402,0.3987870720
0.7200000000,0.3770833333,0.3543515243,0.3998151424
0.7225000000,0.3785467128,0.3573675210,0.3997259046
0.7250000000,0.3786206897,0.3579977731,0.3992436062
0.7275000000,0.3800687285,0.3599192630,0.4002181941
0.7300000000,0.3801369863,0.3608839971,0.3993899755
0.7325000000,0.3808873720,0.3622701395,0.3995046045
0.7350000000,0.3809523810,0.3618303644,0.4000743975
0.7375000000,0.3823728814,0.3636912333,0.4010545294
0.7400000000,0.3831081081,0.3649198419,0.4012963743
0.7425000000,0.3845117845,0.3664330327,0.4025905363
0.7450000000,0.3852348993,0.3677052004,0.4027645983
0.7475000000,0.3852842809,0.3688298553,0.4017387066
0.7500000000,0.3860000000,0.3701312945,0.4018687055
0.7525000000,0.3873754153,0.3717760973,0.4029747333
0.7550000000,0.3880794702,0.3705393389,0.4056196015
0.7575000000,0.3894389439,0.3708849081,0.4079929797
0.7600000000,0.3888157895,0.3713910538,0.4062405252
0.7625000000,0.3888524590,0.3696278870,0.4080770311
0.7650000000,0.3875816993,0.3684199527,0.4067434460
0.7675000000,0.3882736156,0.3685838799,0.4079633513
0.7700000000,0.3896103896,0.3702765865,0.4089441927
0.7725000000,0.3902912621,0.3700794213,0.4105031030
0.7750000000,0.3916129032,0.3703052504,0.4129205561
0.7775000000,0.3916398714,0.3722033799,0.4110763629
0.7800000000,0.3923076923,0.3711366270,0.4134787577
0.7825000000,0.3936102236,0.3738947040,0.4133257433
0.7850000000,0.3936305732,0.3733513034,0.4139098431
0.7875000000,0.3936507937,0.3743400430,0.4129615443
0.7900000000,0.3936708861,0.3727678089,0.4145739633
0.7925000000,0.3955835962,0.3747464593,0.4164207331
0.7950000000,0.3968553459,0.3748713517,0.4188393401
0.7975000000,0.3968652038,0.3769037908,0.4168266168
0.8000000000,0.3975000000,0.3790129745,0.4159870255
0.8025000000,0.3968847352,0.3778168647,0.4159526057
0.8050000000,0.3981366460,0.3783988406,0.4178744514
0.8075000000,0.3987616099,0.3785294872,0.4189937327
0.8100000000,0.4000000000,0.3785596808,0.4214403192
0.8125000000,0.4000000000,0.3792493485,0.4207506515
0.8150000000,0.4006134969,0.3816458992,0.4195810946
0.8175000000,0.4018348624,0.3821775684,0.4214921564
0.8200000000,0.4036585366,0.3840611733,0.4232558998
0.8225000000,0.4030395137,0.3824371844,0.4236418429
0.8250000000,0.4042424242,0.3842261443,0.4242587042
0.8275000000,0.4042296073,0.3861611910,0.4222980235
0.8300000000,0.4048192771,0.3863831734,0.4232553808
0.8325000000,0.4048048048,0.3882549965,0.4213546131
0.8350000000,0.4059880240,0.3886305761,0.4233454718
0.8375000000,0.4065671642,0.3907548667,0.4223794617
0.8400000000,0.4071428571,0.3907408150,0.4235448993
