coverage,risk
0.5825000000,0.3133047210
0.5850000000,0.3119658120
0.5875000000,0.3106382979
0.5900000000,0.3135593220
0.5925000000,0.3164556962
0.5950000000,0.3151260504
0.5975000000,0.3179916318
0.6000000000,0.3166666667
0.6025000000,0.3195020747
0.6050000000,0.3181818182
0.6075000000,0.3209876543
0.6100000000,0.3237704918
0.6125000000,0.3224489796
0.6150000000,0.3211382114
0.6175000000,0.3238866397
0.6200000000,0.3266129032
0.6225000000,0.3253012048
0.6250000000,0.3280000000
0.6275000000,0.3266932271
0.6300000000,0.3253968254
0.6325000000,0.3241106719
0.6350000000,0.3267716535
0.6375000000,0.3254901961
0.6400000000,0.3281250000
0.6425000000,0.3307392996
0.6450000000,0.3333333333
0.6475000000,0.3320463320
0.6500000000,0.3307692308
0.6525000000,0.3333333333
0.6550000000,0.3358778626
0.6575000000,0.3346007605
0.6600000000,0.3333333333
0.6625000000,0.3320754717
0.6650000000,0.3345864662
0.6675000000,0.3370786517
0.6700000000,0.3395522388
0.6725000000,0.3382899628
0.6750000000,0.3370370370
0.6775000000,0.3357933579
0.6800000000,0.3345588235
0.6825000000,0.3369963370
0.6850000000,0.3394160584
0.6875000000,0.3418181818
0.6900000000,0.3405797101
0.6925000000,0.3429602888
0.6950000000,0.3453237410
0.6975000000,0.3476702509
0.7000000000,0.3500000000
0.7025000000,0.3487544484
0.7050000000,0.3475177305
0.7075000000,0.3498233216
0.7100000000,0.3521126761
0.7125000000,0.3543859649
0.7150000000,0.3531468531
0.7175000000,0.3554006969
0.7200000000,0.3576388889
0.7225000000,0.3598615917
0.7250000000,0.3586206897
0.7275000000,0.3608247423
0.7300000000,0.3630136986
0.7325000000,0.3651877133
0.7350000000,0.3639455782
0.7375000000,0.3661016949
0.7400000000,0.3682432432
0.7425000000,0.3703703704
0.7450000000,0.3691275168
0.7475000000,0.3712374582
0.7500000000,0.3733333333
0.7525000000,0.3754152824
0.7550000000,0.3741721854
0.7575000000,0.3762376238
0.7600000000,0.3750000000
0.7625000000,0.3737704918
0.7650000000,0.3725490196
0.7675000000,0.3713355049
0.7700000000,0.3733766234
0.7725000000,0.3721682848
0.7750000000,0.3709677419
0.7775000000,0.3729903537
0.7800000000,0.3717948718
0.7825000000,0.3738019169
0.7850000000,0.3726114650
0.7875000000,0.3746031746
0.7900000000,0.3734177215
0.7925000000,0.3753943218
0.7950000000,0.3742138365
0.7975000000,0.3761755486
0.8000000000,0.3781250000
0.8025000000,0.3769470405
0.8050000000,0.3788819876
0.8075000000,0.3777089783
0.8100000000,0.3765432099
0.8125000000,0.3784615385
0.8150000000,0.3803680982
0.8175000000,0.3822629969
0.8200000000,0.3841463415
0.8225000000,0.3829787234
0.8250000000,0.3848484848
0.8275000000,0.3867069486
0.8300000000,0.3885542169
0.8325000000,0.3903903904
0.8350000000,0.3922155689
0.8375000000,0.3940298507
0.8400000000,0.3928571429
0.8425000000,0.3916913947
0.8450000000,0.3934911243
0.8475000000,0.3952802360
0.8500000000,0.3941176471
0.8525000000,0.3958944282
0.8550000000,0.3947368421
0.8575000000,0.3935860058
0.8600000000,0.3924418605
0.8625000000,0.3942028986
0.8650000000,0.3930635838
0.8675000000,0.3919308357
0.8700000000,0.3908045977
0.8725000000,0.3896848138
0.8750000000,0.3914285714
0.8775000000,0.3903133903
0.8800000000,0.3920454545
0.8825000000,0.3909348442
0.8850000000,0.3898305085
0.8875000000,0.3887323944
0.8900000000,0.3904494382
0.8925000000,0.3921568627
0.8950000000,0.3938547486
0.8975000000,0.3955431755
0.9000000000,0.3944444444
0.9025000000,0.3961218837
0.9050000000,0.3950276243
0.9075000000,0.3966942149
0.9100000000,0.3956043956
0.9125000000,0.3945205479
0.9150000000,0.3961748634
0.9175000000,0.3978201635
0.9200000000,0.3967391304
0.9225000000,0.3983739837
0.9250000000,0.4000000000
0.9275000000,0.3989218329
0.9300000000,0.4005376344
0.9325000000,0.4021447721
0.9350000000,0.4010695187
0.9375000000,0.4000000000
0.9400000000,0.4015957447
0.9425000000,0.4005305040
0.9450000000,0.4021164021
0.9475000000,0.4010554090
0.9500000000,0.4000000000
0.9525000000,0.4015748031
0.9550000000,0.4031413613
0.9575000000,0.4046997389
0.9600000000,0.4062500000
0.9625000000,0.4077922078
0.9650000000,0.4093264249
0.9675000000,0.4108527132
0.9700000000,0.4123711340
0.9725000000,0.4138817481
0.9750000000,0.4153846154
0.9775000000,0.4168797954
0.9800000000,0.4158163265
0.9825000000,0.4173027990
0.9850000000,0.4162436548
0.9875000000,0.4151898734
0.9900000000,0.4166666667
0.9925000000,0.4181360202
0.9950000000,0.4195979899
0.9975000000,0.4210526316
1.0000000000,0.4225000000
